bitcount small started execution at 7434600671 CPU cycles
basicmath small started execution at 57674196 CPU cycles
libflush started execution at 342898501 CPU cycles
bitcount small started execution at 61197363 CPU cycles
bitcount small started execution at 119772453 CPU cycles
sha large started execution at 176546225 CPU cycles
libflush started execution at 307821615 CPU cycles
bitcount small started execution at 64952085 CPU cycles
sha large started execution at 119460167 CPU cycles
sha large started execution at 249109241 CPU cycles
closing random execution
